,file_path,sentence,section,0,0_span,weight_0,1,1_span,weight_1
4193,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Edwards, T. et al., 2014: Effect of uncertainty in surface mass balance-elevation feedback on projections of the future sea level contribution of the Greenland ice sheet.",HTML,Greenland,"(154, 163)",1,feedback,"(86, 94)",1
4225,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Edwards, T. et al., 2014: Effect of uncertainty in surface mass balance-elevation feedback on projections of the future sea level contribution of the Greenland ice sheet.",HTML,Greenland,"(154, 163)",1,feedback,"(86, 94)",1
4275,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"et al., 2013: Future sea level rise from Greenland’s main outlet glaciers in a warming climate.",HTML,Greenland,"(41, 50)",1,sea level rise,"(21, 35)",1
4325,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"et al., 2013: Future sea level rise from Greenland’s main outlet glaciers in a warming climate.",HTML,Greenland,"(41, 50)",1,sea level rise,"(21, 35)",1
4334,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Edwards, T. et al., 2014: Effect of uncertainty in surface mass balance-elevation feedback on projections of the future sea level contribution of the Greenland ice sheet.",HTML,Greenland,"(154, 163)",1,feedback,"(86, 94)",1
5068,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"et al., 2011: Exploring high-end scenarios for local sea level rise to develop flood protection strategies for a low-lying delta—the Netherlands as an example.",HTML,Netherlands,"(133, 144)",1,sea level rise,"(53, 67)",1
5128,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Fettweis, X. et al., 2013: Estimating the Greenland ice sheet surface mass balance contribution to future sea level rise using the regional atmospheric climate model MAR.",HTML,Greenland,"(46, 55)",1,"sea level rise, climate model","(110, 124), (156, 169)",2
5130,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Fettweis, X. et al., 2013: Estimating the Greenland ice sheet surface mass balance contribution to future sea level rise using the regional atmospheric climate model MAR.",HTML,Greenland,"(46, 55)",1,"sea level rise, climate model","(110, 124), (156, 169)",2
5333,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Albert, S. et al., 2016: Interactions between sea level rise and wave exposure on reef island dynamics in the Solomon Islands.",HTML,Solomon Islands,"(114, 129)",1,sea level rise,"(50, 64)",1
5749,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Chandra, A. and P. Gaganis, 2016: Deconstructing vulnerability and adaptation in a coastal river basin ecosystem: a participatory analysis of flood risk in Nadi, Fiji Islands.",HTML,Fiji,"(166, 170)",1,adaptation,"(71, 81)",1
5814,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Abdalla, 2010: Alexandria-Nile Delta coast, Egypt: update and future projection of relative sea level rise.",HTML,Egypt,"(44, 49)",1,sea level rise,"(92, 106)",1
5826,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Abdalla, 2010: Alexandria-Nile Delta coast, Egypt: update and future projection of relative sea level rise.",HTML,Egypt,"(44, 49)",1,sea level rise,"(92, 106)",1
5836,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Stanley, J.-D. and P. L. Clemente, 2017: Increased land subsidence and sea level rise are submerging Egypt’s Nile Delta coastal margin.",HTML,Egypt,"(105, 110)",1,sea level rise,"(75, 89)",1
6047,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Maina, J. et al., 2016: Integrating social–ecological vulnerability assessments with climate forecasts to improve local climate adaptation planning for coral reef fisheries in Papua New Guinea.",HTML,"Guinea, Papua New Guinea","(190, 196), (180, 196)",2,adaptation,"(132, 142)",1
6085,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Tonmoy, F. N. and A. El-Zein, 2018: Vulnerability to sea level rise: A novel local-scale indicator-based assessment methodology and application to eight beaches in Shoalhaven, Australia.",HTML,Australia,"(180, 189)",1,sea level rise,"(57, 71)",1
6173,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Thorhaug, A. et al., 2017: Seagrass blue carbon dynamics in the Gulf of Mexico: Stocks, losses from anthropogenic disturbance, and gains through seagrass restoration.",HTML,Mexico,"(76, 82)",1,anthropogenic,"(104, 117)",1
6195,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Osland, M.J. et al., 2017: Assessing coastal wetland vulnerability to sea level rise along the northern Gulf of Mexico coast: Gaps and opportunities for developing a coordinated regional sampling network.",HTML,Mexico,"(116, 122)",1,sea level rise,"(74, 88)",1
6418,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Hart, G., 2011: Vulnerability and adaptation to sea level rise in Auckland, New Zealand.",HTML,New Zealand,"(80, 91)",1,"sea level rise, adaptation","(52, 66), (38, 48)",2
6434,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Villamizar, A. et al., 2017: Climate adaptation in South America with emphasis in coastal areas: the state-of-the-art and case studies from Venezuela and Uruguay.",HTML,"Uruguay, Venezuela","(158, 165), (144, 153)",2,adaptation,"(41, 51)",1
6451,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Ballu, V. et al., 2011: Comparing the role of absolute sea level rise and vertical tectonic motions in coastal flooding, Torres Islands (Vanuatu).",HTML,Vanuatu,"(141, 148)",1,sea level rise,"(59, 73)",1
6460,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Lazrus, H., 2015: Risk perception and climate adaptation in Tuvalu: a combined cultural theory and traditional knowledge approach.",HTML,Tuvalu,"(64, 70)",1,adaptation,"(50, 60)",1
6594,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Martínez, M.L., G. Mendoza-González, R. Silva-Casarín and E. Mendoza-Baldwin, 2014: Land use changes and sea level rise may induce a “coastal squeeze” on the coasts of Veracruz, Mexico.",HTML,Mexico,"(182, 188)",1,sea level rise,"(109, 123)",1
6660,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
6677,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Sovacool, B.K., 2018: Bamboo beating bandits: Conflict, inequality, and vulnerability in the political ecology of climate change adaptation in Bangladesh.",HTML,Bangladesh,"(147, 157)",1,adaptation,"(133, 143)",1
6710,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Leonard, S., M. Parsons, K. Olawsky and F. Kofod, 2013: The role of culture and traditional knowledge in climate change adaptation: Insights from East Kimberley, Australia.",HTML,Australia,"(166, 175)",1,adaptation,"(124, 134)",1
6713,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Lazrus, H., 2015: Risk perception and climate adaptation in Tuvalu: a combined cultural theory and traditional knowledge approach.",HTML,Tuvalu,"(64, 70)",1,adaptation,"(50, 60)",1
6763,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Lazrus, H., 2015: Risk perception and climate adaptation in Tuvalu: a combined cultural theory and traditional knowledge approach.",HTML,Tuvalu,"(64, 70)",1,adaptation,"(50, 60)",1
6769,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Nunn, P.D., A. Kohler and R. Kumar, 2017a: Identifying and assessing evidence for recent shoreline change attributable to uncommonly rapid sea level rise in Pohnpei, Federated States of Micronesia, Northwest Pacific Ocean.",HTML,Federated States of Micronesia,"(170, 200)",1,sea level rise,"(143, 157)",1
6774,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Nunn, P.D., A. Kohler and R. Kumar, 2017a: Identifying and assessing evidence for recent shoreline change attributable to uncommonly rapid sea level rise in Pohnpei, Federated States of Micronesia, Northwest Pacific Ocean.",HTML,Federated States of Micronesia,"(170, 200)",1,sea level rise,"(143, 157)",1
6849,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Neef, A. et al., 2018: Climate adaptation strategies in Fiji: The role of social norms and cultural values.",HTML,Fiji,"(60, 64)",1,adaptation,"(35, 45)",1
6993,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Albert, S. et al., 2016: Interactions between sea level rise and wave exposure on reef island dynamics in the Solomon Islands.",HTML,Solomon Islands,"(114, 129)",1,sea level rise,"(50, 64)",1
7006,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Albert, S. et al., 2016: Interactions between sea level rise and wave exposure on reef island dynamics in the Solomon Islands.",HTML,Solomon Islands,"(114, 129)",1,sea level rise,"(50, 64)",1
7237,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Albert, S. et al., 2016: Interactions between sea level rise and wave exposure on reef island dynamics in the Solomon Islands.",HTML,Solomon Islands,"(114, 129)",1,sea level rise,"(50, 64)",1
7320,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"and D. Dutta, 2012: Assessing impacts of sea level rise on river salinity in the Gorai river network, Bangladesh.",HTML,Bangladesh,"(102, 112)",1,sea level rise,"(41, 55)",1
7784,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Addo, 2013: Effect of predicted sea level rise on tourism facilities along Ghana’s Accra coast.",HTML,Ghana,"(75, 80)",1,sea level rise,"(32, 46)",1
7841,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Rouse, H. et al., 2017: Coastal adaptation to climate change in Aotearoa-New Zealand.",HTML,New Zealand,"(77, 88)",1,adaptation,"(36, 46)",1
7888,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Davis, K.F., A. Bhattachan, P. D’Odorico and S. Suweis, 2018: A universal model for predicting human migration under climate change: examining future sea level rise in Bangladesh.",HTML,Bangladesh,"(172, 182)",1,sea level rise,"(154, 168)",1
8178,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Vu, D., T. Yamada and H. Ishidaira, 2018: Assessing the impact of sea level rise due to climate change on seawater intrusion in Mekong Delta, Vietnam.",HTML,Vietnam,"(146, 153)",1,sea level rise,"(70, 84)",1
8192,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Bang, 2019: Salt intrusion adaptation measures for sustainable agricultural development under climate change effects: A case of Ca Mau Peninsula, Vietnam.",HTML,Vietnam,"(146, 153)",1,adaptation,"(27, 37)",1
8197,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Mehvar, S. et al., 2019: Climate change-driven losses in ecosystem services of coastal wetlands: A case study in the West coast of Bangladesh.",HTML,Bangladesh,"(135, 145)",1,ecosystem services,"(61, 79)",1
8200,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Mukul, S.A. et al., 2019: Combined effects of climate change and sea level rise project dramatic habitat loss of the globally endangered Bengal tiger in the Bangladesh Sundarbans.",HTML,Bangladesh,"(161, 171)",1,sea level rise,"(69, 83)",1
8651,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Bouwer and D. Huitema, 2008: Neo-Atlantis: The Netherlands under a 5-m sea level rise.",HTML,Netherlands,"(47, 58)",1,sea level rise,"(71, 85)",1
8839,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Addo, K.A., 2015: Monitoring sea level rise-induced hazards along the coast of Accra in Ghana.",HTML,Ghana,"(92, 97)",1,sea level rise,"(33, 47)",1
9162,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Albert, S. et al., 2017: Winners and losers as mangrove, coral and seagrass ecosystems respond to sea level rise in Solomon Islands.",HTML,Solomon Islands,"(120, 135)",1,sea level rise,"(102, 116)",1
9309,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Musa, Z.N., I. Popescu and A. Mynett, 2016: Assessing the sustainability of local resilience practices against sea level rise impacts on the lower Niger delta.",HTML,Niger,"(151, 156)",1,sea level rise,"(115, 129)",1
9327,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Musa, Z.N., I. Popescu and A. Mynett, 2016: Assessing the sustainability of local resilience practices against sea level rise impacts on the lower Niger delta.",HTML,Niger,"(151, 156)",1,sea level rise,"(115, 129)",1
9661,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Davis, K.F., A. Bhattachan, P. D’Odorico and S. Suweis, 2018: A universal model for predicting human migration under climate change: examining future sea level rise in Bangladesh.",HTML,Bangladesh,"(172, 182)",1,sea level rise,"(154, 168)",1
9784,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"et al., 2017: Small-island communities in the Philippines prefer local measures to relocation in response to sea level rise.",HTML,Philippines,"(46, 57)",1,sea level rise,"(109, 123)",1
9979,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Lehmann, P. et al., 2015: Barriers and opportunities for urban adaptation planning: analytical framework and evidence from cities in Latin America and Germany.",HTML,Germany,"(155, 162)",1,adaptation,"(67, 77)",1
10081,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Morrison, 2016: Institutional capacity for long-term climate change adaptation: evidence from land use planning in Albay, Philippines.",HTML,Philippines,"(122, 133)",1,adaptation,"(68, 78)",1
10121,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Cuevas, S.C., 2018: Institutional dimensions of climate change adaptation: insights from the Philippines.",HTML,Philippines,"(97, 108)",1,adaptation,"(67, 77)",1
10185,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Sovacool, B.K., 2018: Bamboo beating bandits: Conflict, inequality, and vulnerability in the political ecology of climate change adaptation in Bangladesh.",HTML,Bangladesh,"(147, 157)",1,adaptation,"(133, 143)",1
10202,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Sovacool, B.K., 2018: Bamboo beating bandits: Conflict, inequality, and vulnerability in the political ecology of climate change adaptation in Bangladesh.",HTML,Bangladesh,"(147, 157)",1,adaptation,"(133, 143)",1
10247,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Sovacool, B.K., 2018: Bamboo beating bandits: Conflict, inequality, and vulnerability in the political ecology of climate change adaptation in Bangladesh.",HTML,Bangladesh,"(147, 157)",1,adaptation,"(133, 143)",1
10426,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Morrison, 2016: Institutional capacity for long-term climate change adaptation: evidence from land use planning in Albay, Philippines.",HTML,Philippines,"(122, 133)",1,adaptation,"(68, 78)",1
10441,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Suroso, D. S. A. and T. Firman, 2018: The role of spatial planning in reducing exposure towards impacts of global sea level rise case study: Northern coast of Java, Indonesia.",HTML,Indonesia,"(169, 178)",1,sea level rise,"(118, 132)",1
10444,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Cuevas, S.C., 2018: Institutional dimensions of climate change adaptation: insights from the Philippines.",HTML,Philippines,"(97, 108)",1,adaptation,"(67, 77)",1
10497,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Morrison, 2016: Institutional capacity for long-term climate change adaptation: evidence from land use planning in Albay, Philippines.",HTML,Philippines,"(122, 133)",1,adaptation,"(68, 78)",1
10560,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,Insights in climate adaptation planning from the Netherlands.,HTML,Netherlands,"(49, 60)",1,adaptation,"(20, 30)",1
10564,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Ziervogel, G., E. Archer van Garderen and P. Price, 2016a: Strengthening the knowledge–policy interface through co-production of a climate adaptation plan: leveraging opportunities in Bergrivier Municipality, South Africa.",HTML,South Africa,"(213, 225)",1,adaptation,"(143, 153)",1
10582,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,Insights in climate adaptation planning from the Netherlands.,HTML,Netherlands,"(49, 60)",1,adaptation,"(20, 30)",1
10588,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
10598,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Harris, 2015: Collaborative governance and the challenges of participatory climate change adaptation planning in Santiago de Chile.",HTML,Chile,"(125, 130)",1,adaptation,"(90, 100)",1
10617,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Chu, E., 2016a: The political economy of urban climate adaptation and development planning in Surat, India.",HTML,India,"(105, 110)",1,adaptation,"(59, 69)",1
10647,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,Insights in climate adaptation planning from the Netherlands.,HTML,Netherlands,"(49, 60)",1,adaptation,"(20, 30)",1
10683,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Ziervogel, G., 2019: Building transformative capacity for adaptation planning and implementation that works for the urban poor: Insights from South Africa.",HTML,South Africa,"(146, 158)",1,adaptation,"(62, 72)",1
